name,catalog,class,significance,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,offset,missing,sat_src_flag,extent_flag,conf_flag,cat_ra,cat_dec
2CXO J083710.0+694155,SKIFF,STAR,6.280397247020647,BD+70 523                  ,0,0,0,129.29177839236542,69.69880294522957,0.4515683229240457,0.3076923076923077,0,0,0,129.29204170000003,69.69888890000001
2CXO J103319.9+574820,VERONCAT,AGN,6.507054155882687,CLASXS 212       ,0,0,0,158.33299784057363,57.805714106668546,0.4516205086847468,0.18461538461538463,0,0,0,158.3329,57.8056
2CXO J100159.7+554000,simbad,HMXB,3.0555555555555154,[CHP2004] J100159.7+554001         ,0,0,0,150.49897212313098,55.66693782560325,0.4516298978361257,0.5384615384615384,0,0,0,150.49875,55.66694444444444
2CXO J203441.5+411718,SPICY,YSO,3.0555555555556237,113184,0,0,0,308.6732971574312,41.288493262549316,0.4517861974660478,0.3076923076923077,0,0,0,308.673464,41.288499
2CXO J154321.3+662154,VERONCAT,AGN,11.324274686077585,MM J1543+6621    ,0,0,0,235.83876754244125,66.36517516430042,0.4518433746820045,0.3230769230769231,0,0,0,235.8388,66.3653
2CXO J053449.0-052808,SKIFF,STAR,7.439998144436189,[H97b] 105                 ,1,0,0,83.70433235476668,-5.469145137746827,0.4518970917044337,0.2153846153846154,0,0,0,83.7044583,-5.4691389
2CXO J160710.9-531056,SPICY,YSO,5.142857142856394,32989,0,0,0,241.79575107216442,-53.18233027673754,0.4520948703211487,0.4153846153846154,0,0,0,241.79589500000003,-53.182239
2CXO J120507.6-074527,VERONCAT,AGN,9.821458941313043,CIRS 06          ,0,0,0,181.28197373864572,-7.757511288648549,0.4522107932048531,0.24615384615384617,0,0,0,181.2821,-7.7575
2CXO J203133.8+411915,SPICY,YSO,2.4864864864865197,111603,0,0,0,307.891042293591,41.32091718180421,0.4523487704673155,0.27692307692307694,0,0,0,307.890876,41.320931
2CXO J122711.6+630646,VERONCAT,AGN,4.648648648648809,SDSS J12271+6306 ,0,0,0,186.7984840650417,63.11300585754319,0.4523941454935421,0.2923076923076923,0,0,0,186.7983,63.1131
